32-40;35-40;33-40;33-40;32-40;28-40;36-40;40;158-240;80;>99
28-31;;28-32;31-32;31;27;;37-39;155-157;79;>99
;34;;30;;;35;36;152-154;78;>99
27;33;;;30;26;34;33-35;150-151;77;>99
;32;27;28-29;;25;;;147-149;76;>99
;;;;29;;33;;145-146;75;99
26;31;;27;28;24;31-32;32;141-144;74;99
;29-30;26;;;23;28-30;;137-140;73;99
25;27-28;25;26;27;22;27;31;132-136;72;99
23-24;26;;25;25-26;;26;;130-131;71;98
;25;24;;24;21;;30;126-129;70;98
22;24;22-23;24;23;20;25;29;123-125;69;97
21;23;;23;22;19;24;28;120-122;68;96
;22;21;22;;;23;;118-119;67;96
20;21;20;;21;18;22;27;114-117;66;95
;20;19;21;;17;21;26;110-113;65;93
19;19;;20;20;;;;106-109;64;92
18;18;18;;19;16;20;25;104-105;63;90
;;;19;;;19;;99-103;62;88
17;17;17;;18;15;;24;96-98;61;86
16;16;;18;;;18;23;93-95;60;84
;;16;;17;14;;22;91-92;59;82
15;15;;17;;;17;;89-90;58;79
;14;;16;16;;;21;87-88;57;76
;;15;;;13;16;;85-86;56;73
14;;;15;15;;15;20;84;55;69
;13;;;;;;;82-83;54;66
;;14;;14;12;14;19;80-81;53;62
13;;;14;;;;18;78-79;52;58
;12;;;13;;;17;77;51;54
;;13;;;;13;16;75-76;50;50
12;;;13;;11;;;74;49;46
;;;;12;;12;15;72-73;48;42
;11;12;;;;;;71;47;38
;;;12;;;;14;70;46;34
11;;;;11;;11;;69;45;31
;;;;;;;13;68;44;27
;;11;11;;;;;67;43;24
;;;;;;;12;66;42;21
;;;;;10;;;65;41;18
10;10;10;10;10;;10;10.marras;60-64;40;16
