27-40;27-40;19-40;19-40;22-40;25-40;34-40;;124-240;80;>99
26;25-26;;;;;33;;122-123;79;>99
;;;18;21;22-24;32;37-40;120-121;78;>99
25;24;18;;;;31;;118-119;77;>99
24;;;;;21;30;34-36;116-117;76;>99
;23;;17;20;;29;33;114-115;75;99
23;;17;;;20;;32;;74;99
;22;;;19;;28;31;111-113;73;99
22;;;;;;27;30;108-110;72;99
;21;;16;;19;26;29;107;71;98
21;;16;;18;;25;28;104-106;70;98
;20;;;;18;;27;102-103;69;97
20;;;15;17;;24;26;100-101;68;96
;19;15;;;;23;;98-99;67;96
19;;;;;17;;25;96-97;66;95
;18;;;16;;22;24;95;65;93
;;;14;;;21;23;93-94;64;92
18;;14;;;16;;22;91-92;63;90
;17;;;15;;20;;90;62;88
17;;;;;;19;21;88-89;61;86
;16;;;;15;;20;86-87;60;84
;;;13;14;;18;;85;59;82
16;;13;;;;;19;83-84;58;79
;15;;;;14;17;;82;57;76
;;;;;;;18;80-81;56;73
15;;;12;13;;16;17;79;55;69
;14;12;;;13;;;77-78;54;66
;;;;;;15;16;76;53;62
14;;;;12;;;;75;52;58
;13;;;;;14;15;73-74;51;54
;;;11;;12;;;72;50;50
13;;11;;;;;14;71;49;46
;12;;;11;;13;;69-70;48;42
;;;;;;;13;68;47;38
12;;;;;11;12;;67;46;34
;;;;;;;;66;45;31
;11;;10;;;;12;65;44;27
;;10;;10;;11;;63-64;43;24
11;;;;;10;;;62;42;21
;;;;;;;11;61;41;18
10;10;;;;;10;10;60;40;16
