34-40;35-40;32-40;34-40;34-40;33-40;37-40;35-40;196-240;80;>99
;;;;;;;;;79;>99
33;34;;33;;32;;;190-195;78;>99
32;33;31;;31-33;;32-36;34;185-189;77;>99
;;;;;;;;;76;>99
31;31-32;30;30-32;;31;;32-33;177-184;75;99
30;;29;;30;30;30-31;31;176;74;99
;30;;29;29;29;;;167-175;73;99
28-29;28-29;26-28;;27-28;28;29;;162-166;72;99
26-27;26-27;23-25;26-28;25-26;27;;30;151-161;71;98
24-25;25;21-22;24-25;24;26;28;;137-150;70;98
23;24;20;23;22-23;21-25;27;29;123-136;69;97
21-22;23;18-19;20-22;20-21;20;26;;112-122;68;96
19-20;21-22;17;19;19;18-19;25;28;102-111;67;96
17-18;20;16;18;17-18;17;24;;93-101;66;95
;18-19;15;17;16;16;23;27;89-92;65;93
16;17;14;16;15;15;22;26;86-88;64;92
15;16;13;15;14;14;;;83-85;63;90
;15;;14;;;21;25;81-82;62;88
14;;;13;13;13;20;24;78-80;61;86
13;14;12;;;;19;;75-77;60;84
;;;;12;12;18;23;72-74;59;82
12;13;;12;;;;22;70-71;58;79
;;11;;;;17;;69;57;76
;12;;;11;11;16;21;67-68;56;73
11;;;11;;;15;20;66;55;69
;;;;;;14;;65;54;66
;11;;;;;;19;64;53;62
;;;;;;13;;;52;58
;;;;;;;18;63;51;54
;;;;;;12;17;62;50;50
;;;;;;;16;;49;46
;;;;;;11;15;61;48;42
;;;;;;;;;47;38
;;10;;10;10;;14;;46;34
10;;;10;;;;;;45;31
;10;;;;;;13;;44;27
;;;;;;;;;43;24
;;;;;;;12;;42;21
;;;;;;10;;60;41;18
;;;;;;;10.marras;;40;16
